Year,Company ,Category,Market Cap(in B USD), Revenue , Gross Profit ,Net Income,Earning Per Share, EBITDA ,Share Holder Equity,Total Cash,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin2,Free Cash Flow per Share,Return on Tangible Equity2,Number of Employees,Inflation Rate(in US)2
2022,AAPL,IT," $2,066.94 "," $394,328.00 "," $170,782.00 "," $99,803.00 ", $6.11 ," $130,541.00 "," $50,672.00 "," $(10,952.00)",87.94%,2.3695,19.70%,28.29%,6.7%,25.31%,1.3146,19.70%,164000,8.00%
2021,AAPL,IT," $2,913.28 "," $365,817.00 "," $152,836.00 "," $94,680.00 ", $5.61 ," $120,233.00 "," $63,090.00 "," $(3,860.00)",107.46%,1.9768,15.01%,26.97%,5.5%,25.88%,1.3261,15.01%,154000,4.70%
2020,AAPL,IT," $2,255.97 "," $274,515.00 "," $104,956.00 "," $57,411.00 ", $3.28 ," $77,344.00 "," $65,339.00 "," $(10,435.00)",136.36%,1.7208,8.79%,17.73%,3.5%,20.91%,1.0183,8.79%,147000,1.23%
2019,AAPL,IT," $1,304.76 "," $260,174.00 "," $98,392.00 "," $55,256.00 ", $2.97 ," $76,477.00 "," $90,488.00 "," $24,311.00 ",154.01%,1.194,6.11%,16.32%,3.0%,21.24%,-0.0388,6.11%,137000,1.81%
2018,AAPL,IT, $748.54 ," $265,595.00 "," $101,839.00 "," $59,531.00 ", $2.98 ," $81,801.00 "," $107,147.00 "," $5,624.00 ",113.29%,1.0685,5.56%,16.28%,3.0%,22.41%,0.7414,5.56%,132000,2.44%
2017,AAPL,IT, $868.87 ," $229,234.00 "," $88,186.00 "," $48,351.00 ", $2.30 ," $71,501.00 "," $134,047.00 ", $(195.00),127.61%,0.863,3.61%,12.88%,2.1%,21.09%,0.033,3.61%,123000,2.13%
2016,AAPL,IT, $617.59 ," $215,639.00 "," $84,263.00 "," $45,687.00 ", $2.08 ," $70,529.00 "," $128,249.00 ", $(636.00),135.27%,0.6786,3.56%,14.20%,2.2%,21.19%,-0.5901,3.56%,116000,1.26%
2015,AAPL,IT, $586.86 ," $233,715.00 "," $93,626.00 "," $53,394.00 ", $2.31 ," $82,487.00 "," $119,355.00 "," $7,276.00 ",110.88%,0.539,4.47%,18.39%,3.1%,22.85%,0.9743,4.47%,110000,0.12%
2014,AAPL,IT, $647.36 ," $182,795.00 "," $70,537.00 "," $39,510.00 ", $1.61 ," $60,449.00 "," $111,547.00 ", $(415.00),108.01%,0.3164,3.54%,17.04%,2.8%,21.61%,0.3032,3.54%,97000,1.62%
2013,AAPL,IT, $504.79 ," $170,910.00 "," $64,304.00 "," $37,037.00 ", $1.42 ," $55,756.00 "," $123,549.00 "," $3,513.00 ",167.86%,0.1373,3.00%,17.89%,2.6%,21.67%,0.1363,3.00%,84400,1.46%
